F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,Label
-1.216385,0.920589,-0.467143,-0.062587,nan,-0.062587,3.364423,7.303509,0.224249,-3.837246,1.276157,-1.915754,1.215854,-0.739096,0.692073,-4.140905,0.500573,2.917443,0.941649,2.775373,-1.776942,nan,2.617969,1.000000
0.641372,0.834984,0.312426,-4.075285,nan,-4.075285,-0.287990,11.072297,0.427674,-1.687325,-0.272516,1.275517,-3.898577,-2.534034,-2.327194,-9.526400,-5.139877,6.313604,5.030010,1.812114,-2.904504,-3.781803,0.110889,0.000000
-0.687459,-0.933848,2.400734,-1.641786,0.224478,-1.641786,0.287075,-0.592849,1.599935,-0.469894,-0.268246,1.597313,0.683725,2.286283,-0.904960,-8.228686,3.722979,4.014400,3.638527,0.024005,-1.233937,1.427801,0.367926,1.000000
1.615106,0.239673,-1.054632,1.991674,0.891163,1.991674,-2.690235,-4.991874,-0.771937,1.922228,0.668265,-1.441999,1.314907,1.074897,0.831177,1.406428,2.379002,-0.369410,6.382129,-2.297656,-1.786030,1.804366,1.160616,0.000000
2.535752,-1.676843,-0.914187,0.387205,1.572095,0.387205,-1.158848,2.643725,1.169478,-1.575602,-0.640297,nan,nan,3.967051,0.741531,-1.571607,0.298150,1.041411,2.140131,-1.482594,0.002951,-0.537517,0.228931,3.000000
-0.060004,-1.998802,-1.034353,3.541012,0.973857,3.541012,-0.207915,1.411240,0.827214,1.559786,0.938603,-0.829618,0.541861,-1.985929,-0.919012,5.946905,-0.537660,-1.185786,3.571350,-2.276409,-3.023224,-3.175090,-1.298555,0.000000
-0.043739,-0.913294,1.052895,-0.426745,-0.327248,-0.426745,-2.713084,4.785724,-0.025913,-3.633301,-0.672150,-3.449185,-3.795276,1.741762,-1.000498,8.209927,-3.175346,-1.307488,-0.635782,-3.548652,1.995905,-1.338381,1.185845,0.000000
0.556502,0.467075,0.960203,-0.588031,-0.536324,-0.588031,-2.646829,7.151896,0.902728,-2.718514,-0.369647,-0.731416,-2.620508,0.719142,nan,4.315601,-2.558403,1.886611,0.934918,-2.510343,1.600514,-2.918596,-0.036948,0.000000
0.384432,-0.938429,1.148473,-0.120393,-0.226056,-0.120393,0.690475,-2.281158,-1.507624,-0.632750,-0.588937,nan,-1.452948,0.406925,0.809314,1.052932,-1.377168,-4.164025,-1.720951,2.507707,-0.567816,0.829312,0.299233,2.000000
-0.708463,-0.947586,-0.749573,3.390112,-0.115496,3.390112,-4.423198,-0.667156,0.100008,0.390156,0.618411,1.066905,-1.888155,2.140437,1.154817,-3.726841,-0.387895,1.633528,5.866953,-0.230780,-1.117215,1.487608,1.084154,2.000000
-0.815606,0.003967,0.734497,-0.212441,-0.826558,-0.212441,0.708433,7.266588,0.334587,-2.491932,0.580751,1.588663,-3.556377,1.222678,0.691079,-3.776434,-1.698473,2.246854,-0.267056,0.704338,-0.961344,-3.166047,0.987789,2.000000
0.185781,-1.071824,-0.068161,-1.592425,0.121110,-1.592425,2.198283,-0.634060,-0.696827,-1.972435,0.602407,0.429889,1.088581,2.048602,1.374946,-2.315618,2.919697,1.300265,-3.605530,-0.553321,1.905290,2.256074,-0.325832,1.000000
-0.535731,-1.121638,-0.257782,-2.596647,0.050347,-2.596647,-1.657110,nan,0.560641,-1.354158,-1.324175,-0.231559,-2.093764,-1.596311,0.847268,-0.140558,-2.775567,0.338197,0.775497,-0.802424,nan,-0.046661,0.976627,0.000000
-1.000434,-0.046972,nan,3.463659,1.287020,3.463659,-3.216138,5.554172,0.400094,-0.662577,0.533914,1.719437,-5.092894,3.134621,0.030050,-0.894711,-2.848040,1.529011,2.120430,nan,0.417070,-2.133630,0.008316,2.000000
0.885649,-1.091397,-0.985933,2.263363,0.679339,2.263363,-0.726735,3.062646,-0.208778,-0.803234,0.129324,2.389414,-6.577311,-0.875581,-2.464664,1.370095,-5.961649,-1.484711,-2.875473,-3.255075,-1.945362,-1.178044,0.354188,0.000000
-0.208778,-1.463747,0.589301,0.733742,-0.960369,0.733742,1.465348,nan,-0.226565,-3.251806,-2.035695,2.172707,1.321580,0.196321,-1.381435,-2.610395,1.550922,nan,-2.628025,-1.047725,1.134029,1.055159,-1.360988,1.000000
1.141171,-0.211258,-1.250609,3.486444,-0.475011,3.486444,-1.816556,-2.196178,-0.082356,0.453594,0.390628,-2.552459,3.774213,1.120839,-0.735002,0.099398,3.562200,0.642428,6.613364,1.221880,nan,1.605677,0.454780,0.000000
nan,-2.035114,-0.291022,1.875164,-0.246940,1.875164,-2.785007,3.067534,-0.184723,-1.608368,-0.104172,2.696556,-0.639077,2.097796,-0.892830,-0.174164,1.610651,3.552637,2.440129,-2.902329,0.417723,-1.048867,-0.408945,1.000000
0.181964,-1.038605,0.489695,-0.462731,-0.070782,-0.462731,0.090375,1.308856,-0.408505,-3.274399,nan,0.007367,-0.494193,nan,-0.191684,4.193571,-0.274247,-0.871499,-3.131737,-1.703465,-0.010475,-0.472806,0.527211,0.000000
-0.946444,0.043220,-0.834820,-1.709258,-1.634308,-1.709258,-3.383148,3.873330,1.521182,-2.059557,0.069245,-3.448291,-1.710601,3.174591,0.300144,nan,-0.396906,4.538120,6.907505,-2.653971,1.194863,2.248705,-0.237471,0.000000
0.375424,1.429634,nan,-2.506942,-0.942119,-2.506942,-0.877289,3.542777,-0.044409,nan,-0.758302,0.459622,-0.363429,-1.247836,-0.582735,-1.628900,0.212775,2.982028,5.398420,-1.180264,-2.934919,-3.268602,-0.198980,3.000000
-1.672965,1.220037,1.185805,-4.762615,-0.024657,-4.762615,0.018723,8.048765,0.500609,-4.177052,-0.062010,-0.450552,-4.599747,2.501464,-0.119999,-6.141508,nan,3.953816,4.623934,-0.505053,-3.005640,-3.866339,1.205809,3.000000
0.342888,1.249375,-0.174879,2.415621,-0.163892,2.415621,-0.129190,-4.366827,-0.014224,0.506101,0.117352,-2.897537,1.918504,-0.549984,-0.239020,-0.651025,1.151689,-1.463073,3.917543,nan,-2.555936,3.333558,0.200184,1.000000
-0.220498,-1.964880,0.020126,1.252254,-0.048339,1.252254,-0.341500,-1.546497,0.995168,-0.111412,-0.483233,nan,-0.132616,1.300233,1.299652,1.351394,2.475626,-0.298371,4.745566,-2.855610,-3.330479,-0.453888,-1.295638,3.000000
nan,1.942889,-0.595257,2.772034,1.335304,2.772034,0.866136,-0.563985,-0.961919,-1.170272,nan,-2.727590,0.491806,1.721511,1.370410,-0.478010,1.581123,-1.396769,2.014961,nan,-1.576353,1.124534,-3.063842,1.000000
-0.553313,0.170690,-1.362208,3.256744,nan,3.256744,-2.635884,2.417683,-1.026550,-1.241914,0.296870,-1.423625,-0.309903,-0.067250,0.556216,13.656388,-1.895491,-2.864097,-3.213501,-3.514413,nan,nan,nan,0.000000
0.666409,-0.876116,-1.782493,-2.529164,-1.020068,-2.529164,-0.979602,0.261004,nan,-2.324207,0.244499,-0.007253,0.685931,-1.507249,0.535634,-0.513383,-0.229003,0.403133,-0.428226,1.575330,-0.091047,0.145830,-0.969165,1.000000
2.893695,-1.073074,1.404653,1.572886,0.997958,1.572886,-0.163318,3.925370,-0.197657,-1.857825,-1.058460,0.268936,1.459511,0.460753,nan,1.672683,1.165654,2.119215,-0.172892,-0.517879,1.324430,-0.939795,-1.438601,3.000000
1.161469,-0.264566,-1.191379,1.953772,1.407546,1.953772,-0.862698,2.478925,-0.697613,-1.441300,0.527543,-0.785368,nan,0.752080,-1.595006,2.591183,0.797617,0.654297,-1.750856,2.123857,3.708054,0.162710,0.567634,3.000000
-0.170688,1.763788,-0.518796,1.021914,0.609124,1.021914,1.179035,5.680222,0.096285,-2.308205,-0.861929,0.391309,-2.454516,1.148037,1.134356,nan,-1.765425,1.060942,-2.341687,0.364356,0.604549,-1.166602,-1.501466,1.000000
0.095107,0.400700,0.120870,3.557151,0.392791,3.557151,-1.225242,0.708750,-0.631015,0.907465,-0.738489,-0.640683,0.227193,-1.515085,-0.409221,1.566997,-1.487679,-1.147729,2.963983,1.457592,-1.944900,-1.181874,-1.282560,0.000000
-1.384095,1.022536,-0.137510,-1.133956,-0.758522,-1.133956,-3.025529,-2.510184,0.270734,-4.028410,0.927494,nan,-1.156838,2.338697,1.027795,2.776227,1.427983,-1.574568,0.031088,-1.112558,0.327887,1.696138,-0.554452,3.000000
2.080211,-1.402487,1.125311,0.995834,1.220748,0.995834,1.449120,-3.770393,0.302072,-0.061743,0.851444,-1.130447,5.010394,0.212956,-0.988172,1.959145,5.002430,0.398892,0.400551,-1.205279,0.337907,2.409460,-2.808880,0.000000
-0.886895,0.363850,0.332030,1.454383,-0.954048,1.454383,-0.736710,nan,nan,-0.209687,-1.027055,2.461699,-5.391271,nan,-0.720841,-2.251123,nan,-1.212933,-1.942946,-0.274704,-0.510289,nan,-0.015374,2.000000
-0.806667,-0.514485,-1.461797,0.759674,1.631307,0.759674,-1.867881,2.513843,-3.105387,-4.425353,0.687134,-1.848179,0.054515,-1.174841,-0.900583,9.056302,-1.148755,-1.765011,-2.296025,-1.792163,0.836708,-0.949074,-0.640935,0.000000
-0.020110,0.425553,0.410836,-1.503987,0.857073,-1.503987,-1.023771,0.323038,0.523147,1.429985,0.284468,-2.606660,-0.013581,-0.047768,0.948030,2.471094,-0.330516,-0.261810,4.080927,-0.904020,-0.487652,-1.500976,nan,3.000000
-1.686910,-0.977098,-0.731230,0.128043,0.200310,0.128043,-3.412405,4.272157,0.267125,-2.020707,0.798953,-2.465318,-3.297632,2.701394,-1.215596,-3.420047,-1.569909,4.120207,7.432675,-3.314687,-0.827425,1.852734,-1.106928,1.000000
0.182731,-3.021962,1.109833,-0.036079,1.457144,-0.036079,-1.568623,5.093619,1.119785,1.147342,-1.160990,-2.140962,1.834711,-2.353658,-0.504346,-4.176860,-1.653853,2.896783,7.977319,5.089455,-1.663315,-2.523643,-0.268963,2.000000
0.609686,2.500634,-0.189368,-0.246671,0.362587,-0.246671,-2.580177,2.078555,0.390608,-3.473534,-2.217897,-0.680898,-1.816378,0.173799,0.213408,9.823786,-0.983488,nan,-1.994946,-3.758901,0.807155,-2.464465,-0.186780,0.000000
0.251906,1.223861,0.654956,1.180297,0.655506,1.180297,0.601196,nan,0.193675,1.067801,nan,-1.568191,0.731566,-0.858654,-0.942093,3.350996,0.459891,-1.472103,1.618760,-2.079314,-1.792514,0.156560,0.426553,0.000000
-1.404814,-0.020696,0.329820,0.264696,-0.937084,0.264696,-4.358327,3.390178,0.434218,-3.640899,-0.104506,nan,-4.794438,3.436372,-0.946379,-4.594484,-0.655504,2.573586,4.484016,-0.881707,-1.668372,-0.584391,nan,1.000000
-1.098345,1.204832,0.653922,0.567497,0.613789,nan,nan,1.797329,1.485687,-2.902448,-1.053845,3.036099,-1.888612,2.459104,-0.229312,-3.821478,1.618108,3.029607,2.310625,-1.292094,-1.038360,-0.237174,1.317376,1.000000
0.199051,-0.764465,0.616083,3.044501,-0.466212,3.044501,-3.272638,-8.697418,0.376043,0.664363,-0.285793,-0.972981,6.442672,0.006932,0.592689,7.363951,5.166195,-1.980267,1.055167,-0.955528,2.174050,3.714007,-0.312164,3.000000
-0.061018,0.997650,-1.136679,-3.311186,0.096031,-3.311186,2.376886,nan,0.214806,-2.625802,-1.045516,0.527376,-0.816443,2.895132,nan,-4.347941,3.241082,1.430576,-0.982370,0.539474,-0.575905,-1.191469,-1.749122,2.000000
-1.232658,-1.204241,-0.133211,-0.434442,0.065633,-0.434442,-1.582982,-0.199156,-0.103403,0.169116,-0.138356,-2.373975,-0.029153,1.213704,0.267768,-1.600159,0.796607,1.242587,5.858666,-0.579094,-1.256681,0.766489,-0.810850,1.000000
0.217926,2.272514,nan,-1.083967,-0.592447,-1.083967,2.748046,1.236444,0.180256,-0.923667,0.404937,-2.684450,-2.059638,nan,-0.820080,-2.552408,-1.903429,-1.648202,-1.703734,2.023979,-0.693569,0.817299,-1.002762,2.000000
0.418151,0.864112,0.431544,2.090617,1.626513,2.090617,1.427190,5.660864,0.228126,-1.098335,0.691097,1.590293,0.700299,-2.450261,0.049722,2.232638,-0.817148,0.729703,-1.067812,0.826600,-1.420663,-4.194441,0.053297,0.000000
0.382686,0.196843,-1.310831,-2.119895,-0.616762,-2.119895,1.604998,2.625178,1.342267,-1.226625,1.016981,-1.594169,0.396670,-2.704697,-0.733819,4.412630,-1.851483,-1.266596,-2.746291,0.194327,0.142700,-1.991005,nan,3.000000
-2.363621,0.486300,-0.308351,1.238696,0.054678,1.238696,-0.414317,2.430808,0.237459,-0.811453,1.127994,nan,0.720532,0.649650,-0.091456,0.174701,-0.387533,-0.786997,2.950280,3.775007,-0.000249,-0.730088,1.141308,3.000000
1.270327,-0.271130,-0.530671,-0.633728,-0.278360,nan,3.039207,0.711216,-1.100711,-2.738243,-0.053926,-4.022088,2.909695,-0.795875,0.342169,-0.835871,2.479172,-0.139741,nan,1.929821,-2.511811,0.905502,1.051383,1.000000
-1.003328,-0.358515,-0.562209,-1.046867,-0.236200,-1.046867,-1.986084,0.830958,0.684315,-1.059734,0.124764,-0.948036,-2.818955,0.716435,-0.781263,3.345016,0.532040,0.117534,6.150924,-5.264739,-4.462801,-2.836859,0.074321,3.000000
1.345984,-0.758779,0.054401,-0.392157,-0.633088,-0.392157,0.754887,-0.771153,0.029848,0.567752,-0.101911,nan,-0.073413,-0.071143,0.199560,3.398030,1.069821,-1.218569,-3.182398,-1.476580,0.322798,-2.422801,-0.950142,0.000000
1.098780,nan,-0.346316,-1.246764,1.655294,-1.246764,nan,0.138799,-0.338304,-0.125526,0.265468,0.090879,-1.287533,2.478174,-0.388363,-2.561081,0.939394,0.332862,-0.070636,0.458476,0.663945,nan,-1.910788,0.000000
2.235931,-0.758931,-0.681965,0.214455,-0.640212,0.214455,-1.050064,-7.394061,-1.040529,2.937485,0.239815,-1.467307,-0.594748,nan,-0.439196,5.698207,0.909281,-3.438401,3.801182,-5.558958,-3.656945,0.733723,-0.295194,0.000000
1.117535,0.261100,1.522061,-2.034587,0.053492,-2.034587,-0.423694,-1.272437,-1.343543,-0.494534,-0.647155,0.211106,0.827224,0.800846,0.295180,-5.555316,2.278521,2.320839,3.595321,0.752425,-1.376817,1.256917,0.920909,1.000000
-0.583642,-1.554069,0.712558,1.522265,1.628951,1.522265,nan,-0.792633,-1.407099,0.958228,-1.777829,2.218698,-0.491109,2.948688,2.265915,-5.390027,2.610771,2.633571,5.053781,-0.160689,-1.115817,0.065580,-0.836578,2.000000
-0.582562,0.301239,-1.254362,1.645027,nan,1.645027,0.063139,4.650516,0.396898,-1.198455,-0.377185,-2.270010,0.232908,1.142214,-1.690606,2.627205,1.493724,2.543162,5.319678,-3.983244,-1.804165,-1.694704,nan,3.000000
-0.638319,0.844339,-0.635154,1.895181,0.243510,1.895181,2.729526,-3.803918,-0.861918,4.802095,-0.304152,1.464341,-8.553074,3.871818,-1.078008,-3.491158,nan,-4.107832,-1.848385,-4.095254,-2.887452,0.380230,0.752547,0.000000
-0.358053,-1.043713,-0.074800,-4.021541,-1.918404,-4.021541,0.707331,2.511812,0.827129,-2.539524,0.940838,1.206466,1.193866,1.303166,-1.090326,-5.840276,3.489791,5.700243,2.093722,-1.952902,-0.058424,0.805659,0.840684,1.000000
0.511456,0.165363,-0.991103,-0.553045,-1.901217,-0.553045,nan,5.376401,-0.468797,0.527041,2.297027,1.407572,3.942519,0.330758,0.708136,4.197064,0.824903,1.922643,-7.671301,2.449695,8.380848,-2.445372,-0.270779,3.000000
-1.713853,-0.602001,-1.618601,0.471519,-0.784184,0.471519,1.215382,nan,-1.129413,-0.040677,-0.799322,-1.943742,3.559239,0.483554,0.323400,-1.271818,3.430532,2.411425,3.327945,-0.857554,nan,1.879616,0.316064,3.000000
-1.937771,0.101802,0.363100,nan,-0.038279,-2.528965,-0.097182,-1.051944,0.393050,1.344039,-1.251208,-5.084784,-0.892002,0.671924,-0.550003,-0.337873,-0.227346,0.241848,6.914548,-2.610041,-2.326587,1.171884,0.900518,1.000000
-2.119212,-0.664594,-0.004242,1.352545,-0.024883,1.352545,-1.691134,1.806364,0.556760,-1.128340,-0.668329,0.752534,-5.469944,2.797273,-0.394225,-9.566602,-2.936044,1.578196,nan,1.444144,-1.887562,2.217118,-0.552515,2.000000
0.686223,-0.874585,0.885771,1.467607,-1.201348,1.467607,-0.777997,-4.577974,nan,-1.460546,1.662635,-4.366531,6.589836,-3.363259,-0.674035,4.411958,2.858222,-1.828909,3.532755,2.411741,-1.730760,nan,0.411232,0.000000
-0.541854,0.892420,1.803697,-1.522294,0.919204,-1.522294,nan,2.877974,-0.439306,0.597555,nan,-0.045765,-0.099556,1.265488,0.256049,-5.159280,2.523149,3.311560,6.075772,-0.576867,-3.254761,-2.552303,0.458692,3.000000
0.549715,-0.946827,0.659912,-2.950644,-1.028549,-2.950644,1.007614,3.149861,-0.462346,1.913528,0.846074,-0.553607,0.920327,-1.270004,-1.196267,-7.363717,0.459543,4.398457,7.246459,1.223131,-2.930288,-1.696892,nan,3.000000
0.766927,-0.448020,2.055976,-2.570377,nan,-2.570377,-2.709291,-4.938917,-1.155228,0.310563,-0.808674,-1.818908,-1.458568,-0.027899,0.475489,6.908197,-1.758445,-3.218668,-2.017810,-3.547868,2.182689,2.089051,-0.262966,0.000000
-0.700849,0.009765,0.736541,-0.936859,0.645955,-0.936859,-1.067135,-2.612876,-2.516113,-0.202647,-0.194899,-2.031394,nan,1.296305,0.324541,-1.473627,1.599524,-1.562412,3.359482,nan,-1.316336,0.034667,0.605877,2.000000
nan,1.179715,1.710698,-3.090729,-0.135810,-3.090729,-5.271560,3.436142,2.204695,-2.344090,1.141289,-1.929735,2.256440,-3.018412,-0.200384,5.049012,-1.752932,2.112114,3.724996,0.799449,nan,-1.500056,0.858144,0.000000
0.039791,0.669806,-0.576269,-2.978878,-1.812713,-2.978878,0.558755,-0.049144,-0.846516,-2.283996,1.424736,1.057805,-3.895445,0.788107,2.176242,-5.550101,-1.710415,0.165848,nan,0.091565,-1.268562,1.519674,-0.271461,2.000000
-0.279414,0.241806,0.999453,nan,-0.797223,-1.908645,-0.395367,0.440810,nan,-1.885510,0.801833,-3.362724,0.222545,-2.849167,-0.205674,8.084315,-1.787204,-6.408315,-1.369714,5.329798,-1.624560,-5.304315,-0.262443,3.000000
1.420016,0.395454,0.528549,1.454899,-0.230554,nan,0.256844,8.098761,0.549908,-1.834417,-0.759508,1.584232,-3.455331,1.173231,0.279684,-3.116275,-2.569638,3.289461,-0.100457,-0.803844,nan,-2.026657,-1.872275,0.000000
1.491615,-0.859129,-0.030773,-1.952959,-0.478346,-1.952959,-1.503782,4.160685,-1.331087,-3.365835,-0.328842,-1.532756,-2.636989,2.228941,-0.935882,-3.827402,-0.699387,2.556576,3.090894,-0.067054,-0.352660,0.320838,nan,3.000000
-0.779825,0.086932,1.268447,-1.192301,-0.768015,-1.192301,-1.297979,-0.345465,nan,0.264943,-1.085218,nan,-1.718368,1.635703,-0.769831,-4.612462,-0.481489,1.625662,6.448387,-0.886571,-1.809555,nan,0.543012,1.000000
0.439528,-0.027799,0.165459,-0.341765,-0.500585,-0.341765,-1.517973,1.253751,0.237351,-1.870201,-0.405015,0.229363,0.875202,1.709660,-0.089117,0.923307,2.097558,1.505960,0.660772,-0.397941,1.476793,-0.421682,0.063101,2.000000
0.708213,-0.414092,-0.420672,-0.235180,-0.495116,-0.235180,-1.617682,-3.235309,0.845013,-2.331322,-0.442522,0.896846,2.189767,-3.904537,-0.005429,-0.185240,-0.570783,-0.172950,-0.856202,1.034129,-1.320187,3.129577,0.294080,3.000000
-0.795228,0.509825,-0.407455,0.508949,-0.521416,0.508949,-0.172353,1.699311,-1.481365,3.897360,0.895372,1.099506,-3.560272,-0.021450,nan,-13.592153,nan,2.837551,8.023481,3.687986,-4.539293,-0.231319,-0.137499,2.000000
2.035372,0.706609,-0.917353,1.319267,-0.790373,1.319267,3.694872,-3.644580,0.813745,-0.342784,0.453726,-1.626470,1.012970,-0.360817,nan,-0.327714,0.814094,-2.596143,-3.577307,0.304897,-0.961772,3.395468,-0.449466,2.000000
-1.088085,-1.591561,0.746781,-1.100761,0.493130,-1.100761,1.122924,-7.775066,-0.944651,-0.389967,0.507432,0.628767,3.173884,-5.272807,1.666614,10.045196,0.775008,-4.737373,-5.917599,-3.714955,-1.383274,1.472205,0.142684,3.000000
0.172308,1.602258,0.653146,1.351763,0.031915,1.351763,-1.366252,0.617028,-1.507324,-1.017896,-0.838949,2.247611,-0.018092,-0.113708,0.241396,1.380280,0.934850,0.156337,0.332182,-0.318228,-1.009796,-1.950925,0.701253,3.000000
-0.610510,nan,1.123486,0.785872,-1.461989,0.785872,2.659602,0.426401,0.807180,nan,-1.063723,nan,-1.408065,0.978802,0.488437,-2.539550,-0.305201,-1.364324,1.360198,nan,-2.591001,0.712502,0.598255,1.000000
0.107144,-1.670263,-0.230770,0.395070,0.174638,0.395070,-4.147254,-8.606245,1.561645,nan,-1.053448,-3.075575,4.864533,-1.531931,0.576289,11.410310,3.392632,-6.655917,1.565391,2.848265,-0.176011,-0.847005,1.825662,2.000000
-1.680771,-0.305889,0.300742,-0.479441,-1.446975,-0.479441,-2.331007,2.487522,nan,-1.302647,-0.070951,0.827823,-2.142001,-2.848527,-0.432222,4.671738,-3.852261,-0.265933,nan,-2.529268,-0.714660,-1.690676,1.481108,0.000000
-0.646680,0.429490,0.379638,2.570684,-1.687722,2.570684,3.577638,0.765869,-0.242629,0.374924,0.420896,0.794151,0.559230,1.677727,-0.088806,-2.604010,1.544087,-0.091948,-3.327573,1.334931,0.675491,nan,0.861508,0.000000
